作家(handle)	作家名	欄	固有名詞(ja)	含まれる人名	種別	言語	現表記	人名部分	判定	判定の理由	社内の照合(本人ページのローマ字)	探索経路
sasamura-sokajin	笹村 草家人	masterworks[2]	明治天皇像	明治天皇	作品名	en	Statue of Emperor Meiji	Statue Emperor Meiji	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
kitamura-haruyoshi	北村 治禧	masterworks[0]	梅原龍三郎像	梅原龍三郎	作品名	romaji	Umehara Ryuzaburo-zo	Umehara Ryuzaburo-zo	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
kitamura-haruyoshi	北村 治禧	masterworks[0]	梅原龍三郎像	梅原龍三郎	作品名	en	Portrait of Umehara Ryuzaburo	Umehara Ryuzaburo	C	本便では公式サイトを特定できなかった	本人ページのローマ字と一致（Umehara/Ryuzaburo）	Wikidataに該当項目／公式サイトURLの登録なし
amemiya-keiko	雨宮 敬子	collection	韮崎大村美術館	大村智	館・施設	ko	니라사키 오무라 미술관	니라사키 오무라 미술관	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	Wikidata P856→http://nirasakiomura-artmuseum.com/（＋言語切替リンク）を取得し、韓国語ページの有無とハングル表記を全文検索
amemiya-keiko	雨宮 敬子	collection	韮崎大村美術館	大村智	館・施設	fr	Musée d'art Omura de Nirasaki	d'art Omura	C	★人名部分の綴りが当社の英語表記（Omura）と食い違う（d'art Omura）。相違の根拠は確認できない	当該人物は掲載作家ではない（社内の照合先なし）	同一固有名詞の8言語を並べて比較。公式サイトに当該言語のページは検出できず
amemiya-keiko	雨宮 敬子	collection	韮崎大村美術館	大村智	館・施設	es	Museo de Arte Omura de Nirasaki	Arte Omura	C	★人名部分の綴りが当社の英語表記（Omura）と食い違う（Arte Omura）。相違の根拠は確認できない	当該人物は掲載作家ではない（社内の照合先なし）	同一固有名詞の8言語を並べて比較。公式サイトに当該言語のページは検出できず
asakura-isokichi	浅蔵 五十吉	collection	能美市九谷焼美術館（旧・浅蔵五十吉美術館）	浅蔵五十吉	館・施設	en	Nomi City Kutani Ware Museum (formerly the Asakura Isokichi Museum of Art)	Asakura Isokichi	C	公式サイトを取得したが、英語の館名の記載を見つけられなかった	本人ページのローマ字と一致（Asakura/Isokichi）	Wikidata P856→https://www.kutaniyaki.or.jp（＋言語切替リンク）を取得し全文検索→英名0件
asakura-isokichi	浅蔵 五十吉	collection	能美市九谷焼美術館（旧・浅蔵五十吉美術館）	浅蔵五十吉	館・施設	ko	노미시 구타니야키 미술관(구 아사쿠라 이소키치 미술관)	노미시 구타니야키 미술관 아사쿠라 이소키치 미술관	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	Wikidata P856→https://www.kutaniyaki.or.jp（＋言語切替リンク）を取得し、韓国語ページの有無とハングル表記を全文検索
asakura-isokichi	浅蔵 五十吉	collection	能美市九谷焼美術館（旧・浅蔵五十吉美術館）	浅蔵五十吉	館・施設	fr	Musée de la céramique de Kutani de la ville de Nomi (ancien musée Asakura Isokichi)	Asakura Isokichi	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Asakura/Isokichi）	公式サイト（https://www.kutaniyaki.or.jp）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
asakura-isokichi	浅蔵 五十吉	collection	能美市九谷焼美術館（旧・浅蔵五十吉美術館）	浅蔵五十吉	館・施設	es	Museo de Cerámica de Kutani de la Ciudad de Nomi (antiguo Museo Asakura Isokichi)	Asakura Isokichi	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Asakura/Isokichi）	公式サイト（https://www.kutaniyaki.or.jp）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
asakura-isokichi	浅蔵 五十吉	collection	能美市九谷焼美術館（旧・浅蔵五十吉美術館）	浅蔵五十吉	館・施設	de	Kutani-Keramikmuseum der Stadt Nomi (ehemals Asakura-Isokichi-Kunstmuseum)	Asakura Isokichi	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Asakura/Isokichi）	公式サイト（https://www.kutaniyaki.or.jp）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
amata-akitsugu	天田 昭次	collection	刀剣伝承館・天田昭次記念館	天田昭次	館・施設	en	Sword Heritage Hall and Amata Akitsugu Memorial Museum	Amata Akitsugu	C	本便では公式サイトを特定できなかった	本人ページのローマ字と一致（Amata/Akitsugu）	Wikidataに該当項目／公式サイトURLの登録なし
amata-akitsugu	天田 昭次	collection	刀剣伝承館・天田昭次記念館	天田昭次	館・施設	ko	도검전승관·아마타 아키쓰구 기념관	도검전승관 아마타 아키쓰구 기념관	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	公式サイト未特定
amata-akitsugu	天田 昭次	collection	刀剣伝承館・天田昭次記念館	天田昭次	館・施設	fr	Hall du patrimoine du sabre et Musée commémoratif Amata Akitsugu	Amata Akitsugu	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Amata/Akitsugu）	公式サイトに当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
amata-akitsugu	天田 昭次	collection	刀剣伝承館・天田昭次記念館	天田昭次	館・施設	es	Sala del Patrimonio de la Espada y Museo Conmemorativo Amata Akitsugu	Amata Akitsugu	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Amata/Akitsugu）	公式サイトに当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
amata-akitsugu	天田 昭次	collection	刀剣伝承館・天田昭次記念館	天田昭次	館・施設	de	Halle des Schwerterbes und Amata-Akitsugu-Gedenkmuseum	Amata Akitsugu	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Amata/Akitsugu）	公式サイトに当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
osumi-toshihira	大隅 俊平	collection	太田市立大隅俊平美術館	大隅俊平	館・施設	en	Ōta City Ōsumi Toshihira Art Museum	Ōsumi Toshihira	C	本便では公式サイトを特定できなかった	本人ページのローマ字と一致（Ōsumi/Toshihira）	Wikidataに該当項目／公式サイトURLの登録なし
osumi-toshihira	大隅 俊平	collection	太田市立大隅俊平美術館	大隅俊平	館・施設	ko	오타시립 오스미 도시히라 미술관	오타시립 오스미 도시히라 미술관	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	公式サイト未特定
osumi-toshihira	大隅 俊平	collection	太田市立大隅俊平美術館	大隅俊平	館・施設	fr	Musée d'art Ōsumi Toshihira de la ville d'Ōta	Ōsumi Toshihira	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Ōsumi/Toshihira）	公式サイトに当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
osumi-toshihira	大隅 俊平	collection	太田市立大隅俊平美術館	大隅俊平	館・施設	es	Museo de Arte Ōsumi Toshihira de la ciudad de Ōta	Ōsumi Toshihira	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Ōsumi/Toshihira）	公式サイトに当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
osumi-toshihira	大隅 俊平	collection	太田市立大隅俊平美術館	大隅俊平	館・施設	de	Osumi-Toshihira-Kunstmuseum der Stadt Ōta	Osumi Toshihira	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Osumi/Toshihira）	公式サイトに当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
otsuka-gen	大束 元	masterworks[0]	軌跡 大束元の世界	大束元	作品名	romaji	Kiseki: Ōtsuka Gen no Sekai	Kiseki: Ōtsuka Gen no Sekai	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
otsuka-gen	大束 元	masterworks[0]	軌跡 大束元の世界	大束元	作品名	en	Trajectory: The World of Otsuka Gen	Otsuka Gen	C	本便では公式サイトを特定できなかった	本人ページのローマ字と一致（Otsuka/Gen）	Wikidataに該当項目／公式サイトURLの登録なし
nishikawa-shundo	西川 春洞	masterworks[0]	春洞遺墨	西川春洞	作品名	romaji	Shundō iboku	Shundō iboku	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
nishikawa-shundo	西川 春洞	masterworks[0]	春洞遺墨	西川春洞	作品名	en	Surviving Brushworks of Shundō	Shundō	C	本便では公式サイトを特定できなかった	本人ページのローマ字と一致（Shundō）	Wikidataに該当項目／公式サイトURLの登録なし
niwa-kaikaku	丹羽 海鶴	groups	日下部鳴鶴門	日下部鳴鶴	団体・流派	en	Kusakabe Meikaku school	Kusakabe Meikaku	C	本便では公式サイトを特定できなかった	本人ページのローマ字と一致（Kusakabe/Meikaku）	Wikidataに該当項目／公式サイトURLの登録なし
niwa-kaikaku	丹羽 海鶴	groups	日下部鳴鶴門	日下部鳴鶴	団体・流派	ko	구사카베 메이카쿠 문하	구사카베 메이카쿠 문하	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	公式サイト未特定
niwa-kaikaku	丹羽 海鶴	groups	日下部鳴鶴門	日下部鳴鶴	団体・流派	fr	école de Kusakabe Meikaku	Kusakabe Meikaku	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Kusakabe/Meikaku）	公式サイトに当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
niwa-kaikaku	丹羽 海鶴	groups	日下部鳴鶴門	日下部鳴鶴	団体・流派	es	escuela de Kusakabe Meikaku	Kusakabe Meikaku	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Kusakabe/Meikaku）	公式サイトに当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
niwa-kaikaku	丹羽 海鶴	groups	日下部鳴鶴門	日下部鳴鶴	団体・流派	de	Schule von Kusakabe Meikaku (日下部鳴鶴門)	Kusakabe Meikaku	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Kusakabe/Meikaku）	公式サイトに当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
niwa-kaikaku	丹羽 海鶴	masterworks[0]	崔子玉座右銘	崔瑗（崔子玉）	作品名	romaji	Sai Shigyoku zayū no mei	Sai Shigyoku zayū no mei	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
niwa-kaikaku	丹羽 海鶴	masterworks[0]	崔子玉座右銘	崔瑗（崔子玉）	作品名	en	The Maxim of Cui Ziyu	Maxim Cui Ziyu	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
takeda-kado	武田 霞洞	masterworks[0]	霞洞書幅	霞洞（当方未特定）	作品名	romaji	Kadō shofuku	Kadō shofuku	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
takeda-kado	武田 霞洞	masterworks[0]	霞洞書幅	霞洞（当方未特定）	作品名	en	Calligraphy scrolls by Kadō	scrolls Kadō	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
matsui-joryu	松井 如流	masterworks[0]	隷書 杜少陵詩	杜甫（杜少陵）	作品名	romaji	Reisho To Shōryō Shi	Reisho To Shōryō Shi	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
matsui-joryu	松井 如流	masterworks[0]	隷書 杜少陵詩	杜甫（杜少陵）	作品名	en	Poem of Du Shaoling in Clerical Script	Poem Shaoling Clerical Script	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
miyamoto-chikkei	宮本 竹逕	groups	寒玉書道会	（会名の「寒玉」＝人物号の可能性・当方未確認／Codex指摘）	団体・流派	en	Kangyoku Calligraphy Society	Kangyoku Society	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
miyamoto-chikkei	宮本 竹逕	groups	寒玉書道会	（会名の「寒玉」＝人物号の可能性・当方未確認／Codex指摘）	団体・流派	zh_cn	寒玉书道会	寒玉书道会	C	★日本語の人名漢字が字面として残っていない（寒玉书道会）。字体変換で説明できるか、別の語に置き換わっているか、1件ずつ読む必要がある	★日本語の人名漢字が1字も残っていない（簡体・繁体変換で別字になっている可能性）	公式サイト未特定。日本語の人名漢字との字体対応のみ機械照合
miyamoto-chikkei	宮本 竹逕	groups	寒玉書道会	（会名の「寒玉」＝人物号の可能性・当方未確認／Codex指摘）	団体・流派	zh_tw	寒玉書道會	寒玉書道會	C	★日本語の人名漢字が字面として残っていない（寒玉書道會）。字体変換で説明できるか、別の語に置き換わっているか、1件ずつ読む必要がある	★日本語の人名漢字が1字も残っていない（簡体・繁体変換で別字になっている可能性）	公式サイト未特定。日本語の人名漢字との字体対応のみ機械照合
miyamoto-chikkei	宮本 竹逕	groups	寒玉書道会	（会名の「寒玉」＝人物号の可能性・当方未確認／Codex指摘）	団体・流派	ko	간교쿠 서도회	간교쿠 서도회	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	公式サイト未特定
miyamoto-chikkei	宮本 竹逕	groups	寒玉書道会	（会名の「寒玉」＝人物号の可能性・当方未確認／Codex指摘）	団体・流派	fr	Société de calligraphie Kangyoku	Société Kangyoku	C	★人名部分の綴りが当社の英語表記（Kangyoku Society）と食い違う（Société Kangyoku）。相違の根拠は確認できない	当該人物は掲載作家ではない（社内の照合先なし）	同一固有名詞の8言語を並べて比較。公式サイトに当該言語のページは検出できず
miyamoto-chikkei	宮本 竹逕	groups	寒玉書道会	（会名の「寒玉」＝人物号の可能性・当方未確認／Codex指摘）	団体・流派	es	Sociedad de Caligrafía Kangyoku	Sociedad Kangyoku	C	★人名部分の綴りが当社の英語表記（Kangyoku Society）と食い違う（Sociedad Kangyoku）。相違の根拠は確認できない	当該人物は掲載作家ではない（社内の照合先なし）	同一固有名詞の8言語を並べて比較。公式サイトに当該言語のページは検出できず
miyamoto-chikkei	宮本 竹逕	groups	寒玉書道会	（会名の「寒玉」＝人物号の可能性・当方未確認／Codex指摘）	団体・流派	de	Kangyoku-Kalligrafie-Gesellschaft (寒玉書道会; Kangyoku Shodōkai)	Kangyoku Kalligrafie Gesellschaft Kangyoku Shodōkai	C	★人名部分の綴りが当社の英語表記（Kangyoku Society）と食い違う（Kangyoku Kalligrafie Gesellschaft Kangyoku Shodōkai）。相違の根拠は確認できない	当該人物は掲載作家ではない（社内の照合先なし）	同一固有名詞の8言語を並べて比較。公式サイトに当該言語のページは検出できず
miyamoto-chikkei	宮本 竹逕	masterworks[1]	公忠集	源公忠	作品名	romaji	Kintada Shū	Kintada Shū	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
miyamoto-chikkei	宮本 竹逕	masterworks[1]	公忠集	源公忠	作品名	en	Kintada Shū (Anthology of Minamoto no Kintada)	Kintada Shū Anthology Minamoto Kintada	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
miyamoto-chikkei	宮本 竹逕	masterworks[2]	躬恒集	凡河内躬恒	作品名	romaji	Mitsune Shū	Mitsune Shū	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
miyamoto-chikkei	宮本 竹逕	masterworks[2]	躬恒集	凡河内躬恒	作品名	en	Mitsune Shū (Anthology of Ōshikōchi no Mitsune)	Mitsune Shū Anthology Ōshikōchi Mitsune	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
nakamura-sodo	中村 素堂	groups	貞香会	（会名の「貞香」＝人物号の可能性・当方未確認／Codex指摘）	団体・流派	en	Teikō Society	Teikō Society	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
nakamura-sodo	中村 素堂	groups	貞香会	（会名の「貞香」＝人物号の可能性・当方未確認／Codex指摘）	団体・流派	zh_cn	贞香会	贞香会	C	★日本語の人名漢字が字面として残っていない（贞香会）。字体変換で説明できるか、別の語に置き換わっているか、1件ずつ読む必要がある	★日本語の人名漢字が1字も残っていない（簡体・繁体変換で別字になっている可能性）	公式サイト未特定。日本語の人名漢字との字体対応のみ機械照合
nakamura-sodo	中村 素堂	groups	貞香会	（会名の「貞香」＝人物号の可能性・当方未確認／Codex指摘）	団体・流派	zh_tw	貞香會	貞香會	C	★日本語の人名漢字が字面として残っていない（貞香會）。字体変換で説明できるか、別の語に置き換わっているか、1件ずつ読む必要がある	★日本語の人名漢字が1字も残っていない（簡体・繁体変換で別字になっている可能性）	公式サイト未特定。日本語の人名漢字との字体対応のみ機械照合
nakamura-sodo	中村 素堂	groups	貞香会	（会名の「貞香」＝人物号の可能性・当方未確認／Codex指摘）	団体・流派	ko	데이코회	데이코회	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	公式サイト未特定
nakamura-sodo	中村 素堂	groups	貞香会	（会名の「貞香」＝人物号の可能性・当方未確認／Codex指摘）	団体・流派	fr	Société Teikō	Société Teikō	C	★人名部分の綴りが当社の英語表記（Teikō Society）と食い違う（Société Teikō）。相違の根拠は確認できない	当該人物は掲載作家ではない（社内の照合先なし）	同一固有名詞の8言語を並べて比較。公式サイトに当該言語のページは検出できず
nakamura-sodo	中村 素堂	groups	貞香会	（会名の「貞香」＝人物号の可能性・当方未確認／Codex指摘）	団体・流派	es	Sociedad Teikō	Sociedad Teikō	C	★人名部分の綴りが当社の英語表記（Teikō Society）と食い違う（Sociedad Teikō）。相違の根拠は確認できない	当該人物は掲載作家ではない（社内の照合先なし）	同一固有名詞の8言語を並べて比較。公式サイトに当該言語のページは検出できず
nakamura-sodo	中村 素堂	groups	貞香会	（会名の「貞香」＝人物号の可能性・当方未確認／Codex指摘）	団体・流派	de	Teikōkai (貞香会)	Teikōkai	C	★人名部分の綴りが当社の英語表記（Teikō Society）と食い違う（Teikōkai）。相違の根拠は確認できない	当該人物は掲載作家ではない（社内の照合先なし）	同一固有名詞の8言語を並べて比較。公式サイトに当該言語のページは検出できず
hidai-shokin	比田井 小琴	collection	佐久市立天来記念館	比田井天来	館・施設	en	Saku Municipal Tenrai Memorial Museum	Tenrai	C	公式サイトを取得したが、英語の館名の記載を見つけられなかった	本人ページのローマ字と一致（Tenrai）	Wikidata P856→http://www.city.saku.nagano.jp/shisetsu/sakubun/tenraikinenkan/（＋言語切替リンク）を取得し全文検索→英名0件
hidai-shokin	比田井 小琴	collection	佐久市立天来記念館	比田井天来	館・施設	ko	사쿠 시립 덴라이 기념관	사쿠 시립 덴라이 기념관	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	Wikidata P856→http://www.city.saku.nagano.jp/shisetsu/sakubun/tenraikinenkan/（＋言語切替リンク）を取得し、韓国語ページの有無とハングル表記を全文検索
hidai-shokin	比田井 小琴	collection	佐久市立天来記念館	比田井天来	館・施設	fr	Musée commémoratif Tenrai de la ville de Saku	Tenrai	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Tenrai）	公式サイト（http://www.city.saku.nagano.jp/shisetsu/sakubun/tenraikinenkan/）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
hidai-shokin	比田井 小琴	collection	佐久市立天来記念館	比田井天来	館・施設	es	Museo Conmemorativo Tenrai de la Ciudad de Saku	Tenrai	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Tenrai）	公式サイト（http://www.city.saku.nagano.jp/shisetsu/sakubun/tenraikinenkan/）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
hidai-shokin	比田井 小琴	collection	佐久市立天来記念館	比田井天来	館・施設	de	Städtisches Tenrai-Gedächtnismuseum Saku (佐久市立天来記念館; Saku Shiritsu Tenrai Kinenkan)	Tenrai Tenrai	C	★人名部分の綴りが当社の英語表記（Tenrai）と食い違う（Tenrai Tenrai）。相違の根拠は確認できない	本人ページのローマ字と一致（Tenrai/Tenrai）	同一固有名詞の8言語を並べて比較。公式サイトに当該言語のページは検出できず
namai-shika	生井 子華	masterworks[0]	子華印譜	子華（当方未特定）	作品名	romaji	Shika Inpu	Shika Inpu	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
namai-shika	生井 子華	masterworks[0]	子華印譜	子華（当方未特定）	作品名	en	Shika Inpu (Seal Album of Shika)	Shika Inpu Seal Album Shika	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
aida-mitsuo	相田 みつを	collection	相田みつを美術館(2024年閉館)	相田みつを	館・施設	ko	아이다 미쓰오 미술관(2024년 폐관)	아이다 미쓰오 미술관 폐관	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	Wikidata P856→http://www.mitsuo.co.jp/museum/（＋言語切替リンク）を取得し、韓国語ページの有無とハングル表記を全文検索
naito-rune	内藤 ルネ	masterworks[0]	ルネパンダ	内藤ルネ	作品名	romaji	Rune Panda	Rune Panda	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
naito-rune	内藤 ルネ	masterworks[0]	ルネパンダ	内藤ルネ	作品名	en	Rune Panda	Rune	C	本便では公式サイトを特定できなかった	本人ページのローマ字と一致（Rune）	Wikidataに該当項目／公式サイトURLの登録なし
sano-shigejiro	佐野 繁次郎	masterworks[0]	横光利一作品の装丁	横光利一	作品名	romaji	Yokomitsu Riichi Sakuhin no Sōtei	Yokomitsu Riichi Sakuhin no Sōtei	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
sano-shigejiro	佐野 繁次郎	masterworks[0]	横光利一作品の装丁	横光利一	作品名	en	Book Designs for the Works of Yokomitsu Riichi	Book Designs for Works Yokomitsu Riichi	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
anzai-mizumaru	安西 水丸	masterworks[0]	村上春樹作品の挿絵・装画	村上春樹	作品名	romaji	Murakami Haruki Sakuhin no Sashie Sōga	Murakami Haruki Sakuhin no Sashie Sōga	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
anzai-mizumaru	安西 水丸	masterworks[0]	村上春樹作品の挿絵・装画	村上春樹	作品名	en	Illustrations and Cover Paintings for the Works of Murakami Haruki	Illustrations Cover Paintings for Works Murakami Haruki	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
harada-osamu	原田 治	masterworks[0]	オサムグッズ	原田治	作品名	romaji	Osamu Goods	Osamu Goods	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
harada-osamu	原田 治	masterworks[0]	オサムグッズ	原田治	作品名	en	Osamu Goods	Osamu	C	本便では公式サイトを特定できなかった	本人ページのローマ字と一致（Osamu）	Wikidataに該当項目／公式サイトURLの登録なし
tatsuno-kingo	辰野 金吾	collection	東京大学経済学図書館（辰野金吾関係資料・寄託）	辰野金吾	館・施設	en	University of Tokyo Faculty of Economics Library (Tatsuno Kingo–related materials, on deposit)	Tatsuno Kingo	C	公式サイトを取得したが、英語の館名の記載を見つけられなかった	本人ページのローマ字と一致（Tatsuno/Kingo）	Wikidata P856→http://www.lib.e.u-tokyo.ac.jp/（＋言語切替リンク）を取得し全文検索→英名0件
tatsuno-kingo	辰野 金吾	collection	東京大学経済学図書館（辰野金吾関係資料・寄託）	辰野金吾	館・施設	ko	도쿄대학 경제학도서관(다쓰노 긴고 관련 자료·기탁)	도쿄대학 경제학도서관 다쓰노 긴고 관련 자료 기탁	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	Wikidata P856→http://www.lib.e.u-tokyo.ac.jp/（＋言語切替リンク）を取得し、韓国語ページの有無とハングル表記を全文検索
